"Latitude","Longitude","Name","Address","Rating","Reviews_Count","Reviews","Keywords","Category"
"48.8588562","2.374568","Aujourd'hui Demain","42 Rue du Chemin Vert, 75011 Paris, France","4.7","2920","As far as vegan restaurants go in Paris, this is the BEST one! We went twice in a week because it was so good. There is a also really cute thrift shop in the back of the main seating area. Outdoor seating is available. Be aware that there can be a short wait for lunch unless you are a pair or small group. They have amazing lunch specials as well that you can take advantage of. | Visited during a trip to Paris and had a wonderful time eating here with my partner and our friend! The food is all vegan and tastes incredible!  All three of us got the same dish which had really tasty pancakes scrambled tofu ""eggs"" that were almost exactly like the real ones! A very delicious vegan sausage and a salad with potatoes. It was incredible!  (I also ordered their mac and cheese with vegan chicken and parmesan that was incredible. Just be warned I ordered the smallest bowl for 8€ and I ended up sharing it with my partner because it was so big!)  We were all stuffed after eating it all but still made room for dessert.  I had their take on the Snickers bar in cake form and it was better than the real thing. My partner loved hers and our friend had nothing but great words with theirs.  They also have a mini shop inside the restaurant that sells almost everything they serve which would allow you to try your hand at making it yourself at home. If I wasn't visiting the city I would definitely stop here not just to eat but also shop!  Would 100% recommend! | Make a reservation in advance! This place was so busy, but for good reason! Everything I ate here was delicious. I wasn’t expecting to be able to have most classic French dishes as a vegan, but I had a mouth-watering croque monsieur! I was so excited to get to have one in Paris! I also tried two of the desserts, one cheesecake and one white cake with strawberries, and both were good, but the sandwich was great. I would definitely come back here if I’m in Paris again. | This is the only restaurant in the world where I was willing to sit outside for an early dinner, even though it was cold 😄 (Because everything inside was full, I can understand why!) Excellent food, I especially appreciate the Harisa Cauliflower and tiramisu, amazing! Thank you! | An absolute dream space for vegans! The menu has interesting options, fair prices, and everything is delicious. The cake selection is unreal - banoffee pie, fig cheesecake, pistachio pastries... And everything is totally vegan. They also have a beautiful shop with clothing, food, beauty products, all vegan and eco. I nearly spent all my money here on the 1st day of the trip 😂 totally recommend!","Restaurant Name: Aujourd'hui Demain  Keywords: Vegan restaurant, Paris, lunch specials, outdoor seating, pancakes, scrambled tofu ""eggs"", vegan sausage, salad with potatoes, mac and cheese, Snickers bar cake, mini shop, reservation, croque monsieur, French dishes, cheesecake, white cake, Harisa Cauliflower, tiramisu, fair prices, banoffee pie, fig cheesecake, pistachio pastries, vegan and eco products.",""
"48.88311239999999","2.3338778","Green Farmer’s","49 Bd de Clichy, 75009 Paris, France","4.8","607","A great vegan friendly place to visit. We arrived at 6pm and got sat straight away, food didn’t take long to come and it was really tasty and lots of options. I had the hot dog and fries.  Only issue was the restaurant is very small, about 4 tables and it started to get busy when we were eating and people were standing right behind us waiting. So I suggest going at quieter times in the day | I had a couple Uber eats from here and it never disappoints. This time came by for lunch and ordered fish and chips, for 17 bucks I got served enough food for 2 people easily… it was fast and tasty. Wish it was a bit closer to me so that I could come by more frequently 🥲 | Amazing burgers, lots of options, great friendly service (we are English tourists and ordered in English). Really good music and chilled atmosphere. Open kitchen so you can see the chefs at work. Loved it! | Being a tourist trying to find something vegetarian and vegan we came across this lovely little place.  Our group came back a few times as the food was just incredible, the burgers are divine and the tofu bowl was also packed full and the veg was so fresh.  The staff were so friendly and tolerated our terrible attempts at speaking French, helped us work out the best meal deal for each of our group, highly recommended trying here if you are a vegan and looking for a good burger | Green Farmers is a small, petite gem that managed to comfortably accommodate our group of 15, with room for one more family inside and additional seating outside. Despite its size, the restaurant’s ambiance was cozy and inviting.  A special shoutout to Joslyn, one of the staff members, who was absolutely amazing. He went above and beyond to cater to our individual dietary requirements, including some off-menu allergy restrictions. His attentive service truly enhanced our dining experience.  Most of us opted for their signature burgers and sides. We sampled a combination of the “Green Smash,” “Green Bacon,” “Green Chicken,” and “Green Fish” burgers. Each burger was paired with different sauces that were all succulent and tasty as hell. The fries were particularly noteworthy, fried with the skin on, offering a unique and welcome option that added to the overall deliciousness of the meal.  The restaurant is located in the hub of an “adult” area of Paris, so keep your children distracted when making your way there!  We were so hungry and eager to dig in that we forgot to take pictures of our meals. Trust us, they were demolished quickly because they were that good!  Overall, Green Farmers delivers on flavor and service, making it a must-visit spot for vegan food lovers.","Restaurant Name: Green Farmer’s  Keywords: - Cuisine: Vegan, Vegetarian - Unique Dishes: Hot dog, Fries, Fish and chips, Burgers (Green Smash, Green Bacon, Green Chicken, Green Fish) - Ambiance: Cozy, Inviting, Chilled atmosphere, Open kitchen - Special Features: Vegan-friendly, Small, Accommodating, Friendly service, Attentive staff, Signature sauces, Fresh ingredients - Positive Mentions: Tasty food, Lots of options, Fast service, Good music, Helpful staff, Good value for money, Unique fries with skin on, Comfortably accommodated large groups, Individual dietary requirements catered to, Highly recommended, Must-visit for vegan food lovers, Located",""
"48.8535952","2.3645075","B.Better","26 Rue Beautreillis, 75004 Paris, France","4.9","962","Definitely our favorite meal in Paris! The owner was so kind and personable. We had the tasting menu and everything was amazing! The broccoli and fried green beans were to die for and I’m still thinking about them. We loved the mixed drinks as well. Such a stellar vegan restaurant!! | Simply wow! Delicious food and amazing staff! My husband and I shared the cauliflower skewers, candied eggplant, and mushroom fritters from the Tapas menu and the not-chicken tacos. We also had the chocolate cake with strawberries and Chantilly cream. I can’t pick a favorite because they were all really delicious, incredible balance of flavors, and just the right amount of everything! In addition to the amazing food is the kindness that comes from the staff, Lucas, and everyone was so welcoming, kind and show so much love with the food they serve! This will be our “go-to” spot every time we are in Paris from now on! | Be Better Restaurant in the 4th arrondissement of Paris is a delightful haven for anyone seeking fresh, soulful vegan cuisine. The ambiance is warm and inviting, with a modern yet cozy vibe that makes you feel right at home from the moment you step in.  The menu is thoughtfully crafted, showcasing the best of plant-based ingredients with a creative twist. We started with the barbecue broccoli, which was a revelation—perfectly charred, tender, and bursting with smoky flavor. It was a wonderful introduction to the culinary journey that followed.  Next, we enjoyed the mushroom tacos, which were rich and earthy, with a satisfying blend of textures. The mushrooms were cooked to perfection, and the tacos had a depth of flavor that made them truly memorable. The potatoes were another highlight—crispy on the outside, soft on the inside, and seasoned just right.  To finish, we indulged in the roasted plum dessert. It was a beautiful balance of sweetness and tartness, with the apricots offering a fresh, vibrant note that made the dish both refreshing and indulgent.  Overall, Be Better Restaurant is a must-visit for vegans and non-vegans alike. The food is not just a meal but an experience, with each dish prepared fresh and served with care. If you’re in Paris and looking for a place that offers both taste and heart, Be Better is the place to be. | One of the best vegan restaurants we've ever been to. I want to thank the staff for our amazing visit the other week whilst we were on a trip from the UK for the weekend. We spent some time at other vegan places on our trip, but this was the best one by a long way! The staff were so friendly and inviting, really helpful, and fun as well. They really care about making you feel welcome and cosy. We decided to both have the no chicken tacos which at first seem quite expensive, but when you try them, they are 100% worth the cost. I'm more than happy to pay for this quality of food. The flavours are amazing, the produce is so fresh and locally sourced, and you can tell they have taken time to create the perfect balance of ingredients. The desserts and hot chocolates were absolutely delicious also, with no complaints. I'd happily spend all day there eating their food 🤗  Thank you again for the amazing service! | The best vegan place in Paris. The food was perfectly prepared. You could taste the work, thought and love that went into every dish and drink. The service was perfect, the ambiance very comfy. While we were eating another batch of fresh mushrooms and potatoes was delivered by bike in wooden crates - so you know everything's  fresh!","- Restaurant Name: B.Better - Cuisine Type: Vegan - Unique Dishes: Broccoli and Fried Green Beans, Cauliflower Skewers, Candied Eggplant, Mushroom Fritters, Not-Chicken Tacos, Chocolate Cake with Strawberries and Chantilly Cream, Barbecue Broccoli, Mushroom Tacos, Roasted Plum Dessert, No Chicken Tacos - Ambiance: Warm, Modern, Cozy, Comfy - Special Features: Tasting Menu, Tapas Menu, Fresh Ingredients, Locally Sourced Produce, Thoughtfully Crafted Menu, Kind and Personable Owner and Staff, Welcoming Environment - Positive Mentions: Amazing Food, Stellar Vegan Restaurant, Delicious, Incredible Flavors,",""
"48.8827498","2.3595138","Le Petit Veg","23 Rue Cail, 75010 Paris, France","4.7","324","It is a small, humble place, but the taste is mind blowing.  I had visited this place a year ago and was so impressed that I was determined to try this again during another visit to Paris. And it happened today! | Best barotta in paris!! The portions are generous and the 5 different curries that include a kurma and an aubergine curry (my favorite) are delicious. We also tried and loved the idlies- they were really soft and the chutneys were so tasty. Will be a regular! | Awesome Indian food and great place for vegans.  The restaurant is a bit small though with very few seats. We enjoyed our meals nonetheless. | This restaurant is a little gem in city of Paris. Whenever I go to get some Indian groceries, I bring back some paranthas, curries and samosas with me. This restaurant serves very delicious South Indian food. It’s a like a home away from home. The food is always fresh, hot and served fast. Love their samosas which have a different flavour profile than North Indian samosas 😊 Full marks to the team preparing the food !! | Heaven! Authentic Indian food, very flavourful and delicious. Everything is vegan, including the mango lassi. 10/10","- Cuisine: Indian, South Indian - Dishes: Barotta, curries, aubergine curry, idlies, chutneys, paranthas, samosas, mango lassi - Ambiance: Small, humble, cozy - Features: Vegan-friendly, generous portions, authentic flavors - Positive mentions: Mind-blowing taste, gem in Paris, fresh and hot food, fast service, different flavor profile",""
"48.8842526","2.3430499","Sweet Rawmance","17 Pl. Saint-Pierre, 75018 Paris, France","4.6","1245","I ordered a raw pizza and a pink raspberry raw cake. The pizza was very tasty and filling (the crust was thick with great consistency, and the toppings were a perfect combination). However, allow me to suggest using a bit less salt as I found it very salty. The cake was also tasty, although I would have preferred a thicker raspberry cream layer on top to better balance the cashew cream layer. Prices are fair considering the location and the raw materials needed to make the raw meals and cakes. The positive experience was enhanced by the friendly staff and their beautiful smiles, which made me feel warmly welcomed and led me to give 5 stars. Thank you. | Pretty good but I really wish this place offered a raw vegan salad main dish. They seem pretty into raw foods, they have raw desserts and even a raw pizza but not a raw salad on the menu (other than a tomato salad which is just sliced tomatoes so that's not a meal but more of a starter.) Since I was looking for a nice raw salad, I ordered the kale salad but removed the quinoa and sweet potato. Without those however the value at 16 euros was not there for the quantity given. So it would be great if there could create a nice raw salad, even using ingredients they already have in the kitchen for the correct price and quantity. I'm only giving it 3 stars because although I love the concept, the setting is beautiful, and the servers are kind, the food was also way too salty. I've had r salad two times in the last few months and both times were way over salted. I hope they can correct these things so I can update the score. Side note, the homemade mayo is fantastic though. | Wonderful location, montmarte is right on top of this street and there’s a beautiful view. The staff are super friendly and sweet, what a wonderful vibe. We had the cheeseburger, Porto burger, pink latte, delice raw cake and chocolate raw cake, everything was so delicious. Highly recommended. | Had some amazing fresh food here. Sat in the back outside area which was really peaceful. I got one of the salads which was an incredible combination.  To drink I had a beet latte which was just the right amount of sweetness. For dessert I tried the berry cake which was refreshing. Our servers were friendly and recommended some great dishes. | Loved it! A bit pricy but I guess that’s Paris 😂 my husband had the burger and and soy meat was tasty aaaaaf!! I had the mushroom crepes with a yummy side salad. Def recommend to anyone wanting to have some healthy vegan food!","Restaurant Name: Sweet Rawmance   Cuisine Type: Raw vegan   Unique Dishes: Raw pizza, pink raspberry raw cake, kale salad, cheeseburger, Porto burger, pink latte, delice raw cake, chocolate raw cake, beet latte, berry cake, mushroom crepes   Ambiance: Beautiful location in Montmarte, peaceful back outside area   Special Features: Friendly staff, fair prices, homemade mayo, vegan options   Positive Aspects: Tasty food, friendly servers, great recommendations, healthy vegan options   Critiques: Salty dishes, limited raw salad options, value for quantity at times",""
"48.8666044","2.3309248","Wild & The Moon","19 Pl. du Marché Saint-Honoré, 75001 Paris, France","4.3","1440","Great and innovative cafe. The food is incredible, healthy and inspiring. The staff is so friendly and the vibes are comfortable with plenty of seating, indoor and outdoor.  I loved the jacks bowl and the Bahn mi. It was fresh and tasty. I do wish the portions were a bit bigger for the cost, or the entrees came with a side, but overall incredible food.  Dessert, definitely try the rice crispy treat with poppy seeds, so delicious 🤤 | If you like or need gluten free food then this is a must. Great location and ambience too. Especially outside - when there's no construction though. Was there when there was construction across the street and it was... LOUD. Not heard when inside the resto though but the weather was so nice so we just stuck it out. | I really enjoyed my meal here! The Jack’s Bowl was really great and combined so many flavors to form a really well-rounded dish. As a vegetarian, sometimes I feel like I’m missing out on food like this so this was a great experience. The bowl was €12.5 which for the area seemed really fair. I loved how everything on the menu was both vegan and gluten free. The staff were really friendly and patient when I spoke to them in English. I would definitely come again! | Nice place to sit and do some work. Smoothies were delicious would buy many if they weren't so pricey... Cookies were delicious but very small for the price. The Bounty was lush. | Ever since I came to Paris I was looking something healthy vegetarian option and OMG found this cafe! Fresh, healthy, a lot to choose from and decently priced. The quantity was good and the food was delicious 🤤 Now this is my Go-to place for the rest of my trip! And the great part, since I don't even eat Vegan meat, the staff was very kind enough to remove it from my dishes and made them custom :)","Keywords: - Restaurant: Wild & The Moon - Cuisine: Cafe, healthy, vegan, gluten-free - Dishes: Jack's Bowl, Bahn mi, rice crispy treat with poppy seeds, smoothies, cookies, Bounty - Ambiance: Comfortable vibes, indoor and outdoor seating, great location - Features: Vegan and gluten-free menu options, friendly staff, customer customization - Overall: Innovative, fresh, delicious, well-rounded dishes, decently priced, good quantity",""
"48.8732119","2.3529642","Jah Jah By Le Tricycle","11 R. des Petites Écuries, 75010 Paris, France","4.7","1625","Great African and vegan restaurant in the center of Paris. Meals are absolutely delicious with all savoury new flavours, not too spicy. I loved it! Sides and desserts are great too. Try the different teas on the menu, really good. It's sometimes hard to find a savoury vegan restaurant but this place is a keeper! Gluten free options available on the menu. The service is great and the decor is original.  I'll come back anytime! You have to try it! | Everything here was really good. It’s a great vegan spot that for some reason when you googled the best vegan food in Paris doesn’t show up on a lot of list but I would definitely come here again. The area is mostly local Parisians compared to some of the other vegan spots in the city. | Great African and vegan restaurant in the center of Paris. Meals are absolutely delicious with all savoury new flavours, not too spicy. I loved it! Sides and desserts are great too. Try the different teas on the menu, really good. It's sometimes hard to find a savoury vegan restaurant but this place is a keeper! Gluten free options available on the menu. The service is great and the decor is original.  I'll come back anytime! You have to try it! | Ital is vital!  Good food. And good dining atmosphere inside, would be amazing if the young staff aren’t always super lethargic , it truly does not go with the irie vibe ….  Other than that not much to complain about 😅  Gets super crowded as soon as it opens. Try being a few minutes early to catch a table. | The most delicious food. A must-visit for vegans in Paris! The service was quick and friendly, and we loved the atmosphere.","Jah Jah By Le Tricycle, African cuisine, vegan restaurant, Paris, delicious meals, new flavors, not too spicy, sides, desserts, teas, gluten-free options, original decor, attentive service, local Parisians, good dining atmosphere, young staff, energetic vibe, crowded, quick service, must-visit for vegans.",""
"48.8458663","2.2953405","Restaurant VEGE","122 Rue du Théâtre, 75015 Paris, France","4.6","1221","Pure vegetarian Turkish restaurant! Food is great. Portions are moderate. Friendly and quick service. Not expensive for Paris standards. Lemon juice was too sir, need sugar. Toilet flush need to be fixed | Cozy vegetarian restaurant with vegan options, atmosphere and music is fantastic, personal is fast and speaks English, but not so communicative. The food was pretty good! The location is so convenient. | We absolutely loved the food here. The flavors were  amazing. Everything we had was scrumptious. We would love to come back again. | Great vegetarian restaurant. We ordered starters to share (yummy) and then veggie burger and moussaka. All very much appreciated and tasty. The 2 vegetarians in our group were very satisfied (as was the rest) | Such a cute spot for incredible vegetarian and vegan Middle Eastern food. The salad with hummus and falafel is an absolute MUST. It sounds simple but the meddly of ingredients and flavours is amazing. They also have a full selection of wines and alcohol which was a nice plus.","Restaurant VEGE, Pure vegetarian, Turkish cuisine, moderate portions, friendly service, affordable, lemon juice, cozy ambiance, vegan options, fantastic atmosphere, English-speaking staff, convenient location, amazing flavors, scrumptious, starters, veggie burger, moussaka, Middle Eastern food, hummus, falafel, wine selection",""
"48.8536721","2.3622423","Le Potager du Marais","26 Rue Saint-Paul, 75004 Paris, France","4.3","1585","I don’t usually seek out vegan places and will usually eat anything, an omnivore if you will. But I do love food and in the sea of mediocre French bistros catered to tourists looking for caricatures of French cuisine, food made creatively and with passion need planning and time to seek out.  Le Potager du Marais deserves to be one such establishment though it was a place I just chanced upon. I already had lunch so I had only the French onion soup, and it was truly delicious and might be one of the best specimens I’ve had.  Looking at what my neighbours at the next table are eating. It looks like a return to visit needs to be planned. | Cozy and down to earth restaurant offering all traditional French dishes. The buckwheat crepe with mushrooms, leeks and veggies was delicious. The mains came with a decent amount of salad as well. The french onion soup was good just a bit salty. | This restaurant is absolutely excellent. To enjoy French vegan food is such a unique experience (as an overseas traveller) and I'm grateful for this restaurant providing the opportunity to enjoy some very fine French cuisine! Our waiter was wonderful, attentive and made our night fun. The French onion soup is a must if you're visiting! I feel like I'd travel to Paris again just for the soup! Merci beaucoup 🙏 | Fantastic restaurant that I recommend everyone to visit. Every vegetarian or vegan should definitely visit it. The dishes are delicate, beautiful, tuned to perfection. Thank you for a wonderful gourmet experience. | We loved it so much. Every time we are in Paris this is the first restaurant we book. The owner is amazing and its always a pleasure to see him! Best Vegan restaurant with traditional French cuisine!","Restaurant Name: Le Potager du Marais   Cuisine Type: French, Vegan   Unique Dishes: French onion soup, buckwheat crepe with mushrooms and veggies   Ambiance: Cozy, down-to-earth   Special Features: Traditional French dishes, attentive service, gourmet experience   Positive Mentions: Creative, passionate, delicious dishes, must-try French onion soup, returning customers, best vegan restaurant, amazing owner, popular among vegetarians and vegans",""
"48.8634558","2.3629934","Wild & The Moon","55 Rue Charlot, 75003 Paris, France","4.1","1279","If I lived in Paris, “Wild & the Moon” would have been my daily place to eat. We were visiting the city just for a few days, so I haven’t tried many options, but what I did - was surprisingly tasty. The “Glow Bowl” was divine! Also I tried cinnamon roll - was fresh and tasty, not too sweet. The waiters were helpful. Pleasant interior. Also very convenient that they have several locations. I highly recommend “Wild & the Moon” to those who appreciate tasty and healthy (and ethical!) food. | What I liked  What I did not like - waitress/batista brought us the cups touching the top (NO GO) - as shown on the pic - very dry orange cake - coffee was OK, not super  Cannot recommend. Do not understand the hype | Had a beautiful salad bowl whilst visiting a show and a pistachio muffin. Both tasted great and was so amazing to see a vegan eatery in Paris like this. There was once a time when it was difficult to find something vegetarian in France let alone vegan. The menu was fab with lots of choice and I’ll definitely eat here again when in Paris. ❤️❤️. | Protein shake was so good, coffee and cake as well. It did take some time to get my order despite the place being quite empty. Really great vibes and space for working from a cafe! | Had a great lunch at this lovely vegan eatery. Only thing I would change the next time I’m back is perhaps to ask for less sauce for my Jack’s Bowl. It was a little too much and overwhelming.","- Restaurant Name: Wild & The Moon - Cuisine: Vegan/Plant-based - Unique Dishes: Glow Bowl, Cinnamon Roll, Pistachio Muffin, Protein Shake - Ambiance: Pleasant, Great vibes, Space for working - Special Features: Ethical food, Multiple locations, Vegan eatery - Positive Mentions: Tasty, Healthy, Fab menu, Helpful staff, Convenient locations, Great lunch, Variety of choices, Easy to find vegetarian/vegan options, Coffee and cake, Beautiful salad bowl - Criticisms: Cups handled improperly, Dry orange cake, Long wait time, Overwhelming sauce in Jack's Bowl.",""
